ASN,ASN_NAME,SOURCE,ASOF_DATE
45899,VNPT-AS-VN,ASRank,2022-09-14
38193,TWA-AS-AP,ASRank,2022-09-14
45430,SBN-AWN-IIG-AS-AP,ASRank,2022-09-14
812,ROGERS-COMMUNICATIONS,ASRank,2022-09-14
29075,IELO,ASRank,2022-09-14
13536,TVC-AS1,ASRank,2022-09-14
13094,SFO-IX-AS,ASRank,2022-09-14
13249,ITS-UA,ASRank,2022-09-14
39386,STC-IGW-AS,ASRank,2022-09-14
23764,CTGNet,ASRank,2022-09-14
43531,IXREACH,ASRank,2022-09-14
139009,WSCL-AS-AP,ASRank,2022-09-14
38158,CBN-AS-ID,ASRank,2022-09-14
2381,WISCNET1-AS,ASRank,2022-09-14
13194,BITE,ASRank,2022-09-14
9790,VOCUSGROUPNZ,ASRank,2022-09-14
33287,COMCAST-33287,ASRank,2022-09-14
15694,ATMAN-ISP-AS,ASRank,2022-09-14
41327,FIBERTELECOM-AS,ASRank,2022-09-14
16019,VODAFONE-CZ-AS,ASRank,2022-09-14
48858,Milecom-as,ASRank,2022-09-14
3462,HINET,ASRank,2022-09-14
33667,CMCS,ASRank,2022-09-14
4800,LINTASARTA-AS-AP,ASRank,2022-09-14
1680,NV-ASN,ASRank,2022-09-14
34549,MEER-AS,ASRank,2022-09-14
8866,BTC-AS,ASRank,2022-09-14
8551,BEZEQ-INTERNATIONAL-AS,ASRank,2022-09-14
7385,ALLSTREAM,ASRank,2022-09-14
2152,CSUNET-NW,ASRank,2022-09-14
12357,COMUNITEL,ASRank,2022-09-14
37271,Workonline,ASRank,2022-09-14
23005,SWITCH-LTD,ASRank,2022-09-14
8400,TELEKOM-AS,ASRank,2022-09-14
2854,ROSPRINT-AS,ASRank,2022-09-14
4648,SPARK-NZ,ASRank,2022-09-14
3758,SINGNET,ASRank,2022-09-14
12479,UNI2-AS,ASRank,2022-09-14
3267,RUNNET,ASRank,2022-09-14
9730,BHARTITELESONIC-AS-IN-AP,ASRank,2022-09-14
3292,TDC,ASRank,2022-09-14
12578,APOLLO-AS,ASRank,2022-09-14
11427,TWC-11427-TEXAS,ASRank,2022-09-14
199995,OT-AS,ASRank,2022-09-14
58715,EARTHTELECOMMUNICATION-AS,ASRank,2022-09-14
6730,SUNRISE,ASRank,2022-09-14
29314,VECTRANET-AS,ASRank,2022-09-14
12883,UCOMLINE,ASRank,2022-09-14
4775,GLOBE-TELECOM-AS,ASRank,2022-09-14
33132,FIBERNET-DIRECT,ASRank,2022-09-14
5391,T-HT,ASRank,2022-09-14
29791,VOXEL-DOT-NET,ASRank,2022-09-14
13293,PIONIER-AS-COM,ASRank,2022-09-14
8953,ASN-ORANGE-ROMANIA,ASRank,2022-09-14
28716,RETELIT-AS,ASRank,2022-09-14
137491,PEEREX-NET-AS-AP,ASRank,2022-09-14
19551,INCAPSULA,ASRank,2022-09-14
201776,MIRANDA-AS,ASRank,2022-09-14
42337,RESPINA-AS,ASRank,2022-09-14
137409,GSLNETWORKS-AS-AP,ASRank,2022-09-14
5606,GTS-BACKBONE,ASRank,2022-09-14
3910,CENTURYLINK-EUROPE-LEGACY-QWEST,ASRank,2022-09-14
5713,SAIX-NET,ASRank,2022-09-14
33657,CMCS,ASRank,2022-09-14
42020,LibanTelecom,ASRank,2022-09-14
21949,BEANFIELD,ASRank,2022-09-14
36280,ISL-200-36280,ASRank,2022-09-14
12695,DINET-AS,ASRank,2022-09-14
202,CENTURYLINK-LEGACY-LVLT-202,ASRank,2022-09-14
24724,ATMAN-Foreign-AS,ASRank,2022-09-14
16637,MTNNS-AS,ASRank,2022-09-14
55002,DEFENSE-NET,ASRank,2022-09-14
6667,EUNET-FINLAND,ASRank,2022-09-14
15290,ALLST-15290,ASRank,2022-09-14
3561,CENTURYLINK-LEGACY-SAVVIS,ASRank,2022-09-14
37282,MAINONE,ASRank,2022-09-14
34224,NETERRA-AS,ASRank,2022-09-14
17922,INDOSAT-INP,ASRank,2022-09-14
37613,Dolphin-Telecom-AS,ASRank,2022-09-14
45629,JASTEL-NETWORK-TH-AP,ASRank,2022-09-14
2519,VECTANT,ASRank,2022-09-14
46786,IPTRANSIT,ASRank,2022-09-14
132884,SUMMIT-BD,ASRank,2022-09-14
9680,HINETUSA,ASRank,2022-09-14
2686,ATGS-MMD-AS,ASRank,2022-09-14
9009,M247,ASRank,2022-09-14
17762,HTIL-TTML-IN-AP,ASRank,2022-09-14
202984,team-host,ASRank,2022-09-14
3352,Telefonica_de_Espana,ASRank,2022-09-14
50629,LWLCOM,ASRank,2022-09-14
8529,OMANTEL-AS,ASRank,2022-09-14
6079,RCN-AS,ASRank,2022-09-14
5578,AS-BENESTRA,ASRank,2022-09-14
15164,UPNLLC,ASRank,2022-09-14
12713,OTEGlobe,ASRank,2022-09-14
209141,CMI-Russia,ASRank,2022-09-14
17378,AS17378,ASRank,2022-09-14
47147,AS-ANX,ASRank,2022-09-14
3301,TELIANET-SWEDEN,ASRank,2022-09-14
57866,FUSIX-AS,ASRank,2022-09-14
47605,FNE-AS,ASRank,2022-09-14
17665,ONEBROADBAND,ASRank,2022-09-14
16265,LEASEWEB-NETWORK,ASRank,2022-09-14
9930,TTNET-MY,ASRank,2022-09-14
7016,CCCH-3,ASRank,2022-09-14
208293,MOC-ALSALAM-AS,ASRank,2022-09-14
20001,TWC-20001-PACWEST,ASRank,2022-09-14
58601,AAMRA-ATL-BD,ASRank,2022-09-14
45147,NAPINFO-TRANSIT-AS-AP,ASRank,2022-09-14
