ASN,ORGANIZATION,SOURCE,ASOF_DATE
270932,IN9NET,PeeringDB,2021-12-31
211715,Partlix,PeeringDB,2021-12-31
211715,AS211715,PeeringDB,2021-12-31
137645,Macro Signal Pvt Ltd,PeeringDB,2021-12-31
137645,Macro Signal,PeeringDB,2021-12-31
29768,iCube Development (Calgary),PeeringDB,2021-12-31
29768,ICUBEDEV CGY,PeeringDB,2021-12-31
44421,Eve Network,PeeringDB,2021-12-31
23059,Limelight Networks South Americas,PeeringDB,2021-12-31
23059,llnw.net,PeeringDB,2021-12-31
40850,UPIX Networks AS40850,PeeringDB,2021-12-31
40850,UPIX Networks USA,PeeringDB,2021-12-31
136119,Bali Towerindo Sentra AS136119,PeeringDB,2021-12-31
136119,BALIFIBER,PeeringDB,2021-12-31
47215,Filoo GmbH,PeeringDB,2021-12-31
47217,Planetel Srl,PeeringDB,2021-12-31
47217,Planetel SPA,PeeringDB,2021-12-31
23504,Speakeasy,PeeringDB,2021-12-31
141776,Baoshuo Network,PeeringDB,2021-12-31
141776,BSNET,PeeringDB,2021-12-31
27618,QuickStream Internet,PeeringDB,2021-12-31
56972,ISP AXON,PeeringDB,2021-12-31
39591,Global-e Datacenter BV,PeeringDB,2021-12-31
39598,TiERA Broadband Operator,PeeringDB,2021-12-31
39598,TiERA,PeeringDB,2021-12-31
31230,SIX.SK Route Servers,PeeringDB,2021-12-31
31236,Reykjavik City Hall,PeeringDB,2021-12-31
31236,Reykjavíkurborg,PeeringDB,2021-12-31
7181,Tierpoint 7181,PeeringDB,2021-12-31
29104,Thales Services Numériques,PeeringDB,2021-12-31
29104,Thales,PeeringDB,2021-12-31
29107,Sater,PeeringDB,2021-12-31
29107,Synapse Network,PeeringDB,2021-12-31
207863,Arachnid Networks,PeeringDB,2021-12-31
12833,GigaPIX Route Servers,PeeringDB,2021-12-31
268858,NANDO NET,PeeringDB,2021-12-31
34554,Antares Kommunikationstechnik AG (antanet.ch),PeeringDB,2021-12-31
34555,C.C.S. (Leeds),PeeringDB,2021-12-31
8015,Vector Internet Services,PeeringDB,2021-12-31
8015,OneNeck.com,PeeringDB,2021-12-31
8546,Your Communications/THUS,PeeringDB,2021-12-31
8546,THUS,PeeringDB,2021-12-31
8546,please see AS2529 for more details,PeeringDB,2021-12-31
15280,Host Leasing,PeeringDB,2021-12-31
8542,Eviny AS8542,PeeringDB,2021-12-31
8542,Eviny Digital,PeeringDB,2021-12-31
8542,BKK Digitek,PeeringDB,2021-12-31
8542,BKK Fiber,PeeringDB,2021-12-31
8542,BKK Marked,PeeringDB,2021-12-31
8542,Bredbandsalliansen,PeeringDB,2021-12-31
26627,Pilosoft Inc.,PeeringDB,2021-12-31
26622,COMMCORP COMUNICACOES,PeeringDB,2021-12-31
26622,Commcorp Telecom,PeeringDB,2021-12-31
42661,Detsky Mir,PeeringDB,2021-12-31
42661,Detsky Mir PJSC,PeeringDB,2021-12-31
133838,INFOTEK,PeeringDB,2021-12-31
133838,ISP Infotek Global Network,PeeringDB,2021-12-31
7459,Grande Communications,PeeringDB,2021-12-31
399005,Voit Ventures - Main,PeeringDB,2021-12-31
262316,Ateky Internet,PeeringDB,2021-12-31
58690,Internet East Co.,PeeringDB,2021-12-31
34601,Viewpoint Photo,PeeringDB,2021-12-31
55330,AFGHANTELECOM GOVERNMENT COMMUNICATION NETWORK,PeeringDB,2021-12-31
55330,AFGHANTELECOM,PeeringDB,2021-12-31
199714,Oliver Herms,PeeringDB,2021-12-31
131471,Login.Me,PeeringDB,2021-12-31
131471,LMPL,PeeringDB,2021-12-31
10886,Mid-Atlantic Crossroads (MAX),PeeringDB,2021-12-31
10886,MAX Gigapop,PeeringDB,2021-12-31
10881,PoP-PR/RNP,PeeringDB,2021-12-31
10881,PoP-PR - Ponto de Presen,PeeringDB,2021-12-31
204313,Proximus Luxembourg IPX,PeeringDB,2021-12-31
131477,Jinx Co. Limited,PeeringDB,2021-12-31
131477,Huajuan,PeeringDB,2021-12-31
52818,CD ONE CORPORATION DO BRASIL,PeeringDB,2021-12-31
52818,CD ONE,PeeringDB,2021-12-31
50677,MSK910.ru LTD,PeeringDB,2021-12-31
