ASN,ORGANIZATION,SOURCE,ASOF_DATE
197156,Petit Verbindt,PCH,2022-09-14
24218,Global Transit,PCH,2022-09-14
12329,TMR Telekommunikation Mittleres Ruhrgebiet GmbH,PCH,2022-09-14
13335,Cloudflare,PCH,2022-09-14
8859,OSN Online Service Nuernberg GmbH,PCH,2022-09-14
8632,Luxembourg Online SA,PCH,2022-09-14
15802,Emirates Integrated Telecommunication Company,PCH,2022-09-14
51468,One.Com,PCH,2022-09-14
41887,Prolocation B.V.,PCH,2022-09-14
6412,Zajil International Telecom Co. K.S.C.C.,PCH,2022-09-14
17451,Biznet Networks,PCH,2022-09-14
58601,Aamra Technologies Limited,PCH,2022-09-14
201283,Grandcentrix GmbH,PCH,2022-09-14
34019,Association Hivane,PCH,2022-09-14
25091,IP-Max SA,PCH,2022-09-14
3302,Infracom Italia SpA,PCH,2022-09-14
21320,DANTE,PCH,2022-09-14
6677,Mila ehf.,PCH,2022-09-14
1241,Forthnet S.A.,PCH,2022-09-14
36236,NetActuate,PCH,2022-09-14
197985,Hilf Telecom BV,PCH,2022-09-14
34762,Combell ,PCH,2022-09-14
199524,G-Core Labs S.A.,PCH,2022-09-14
48283,SIDN,PCH,2022-09-14
24482,SG.GS,PCH,2022-09-14
6233,xTom LLC,PCH,2022-09-14
15447,CM.,PCH,2022-09-14
12608,Datatech Labs Middle East DMCC_CTR00UC6G8L6WTN,PCH,2022-09-14
8866,Bulgarian Telecommunications Company AD,PCH,2022-09-14
51185,Onecom Global Communications Ltd.,PCH,2022-09-14
8932,Ucom,PCH,2022-09-14
199670,DNS Belgium vzw,PCH,2022-09-14
199332,Kwebbl B.V.,PCH,2022-09-14
47622,Datatech UK Ltd,PCH,2022-09-14
6717,Internet Central Ltd,PCH,2022-09-14
197902,Hostnet BV,PCH,2022-09-14
35574,SED Multitel s.r.l.,PCH,2022-09-14
12637,Seeweb s.r.l.,PCH,2022-09-14
56583,Blue Jeans Network Inc.,PCH,2022-09-14
20485,TransTeleCom,PCH,2022-09-14
35432,Cablenet Communication Systems Ltd,PCH,2022-09-14
6724,STRATO AG,PCH,2022-09-14
8752,ASVT,PCH,2022-09-14
12850,Enter,PCH,2022-09-14
37721,Virtual Technologies and Solutions,PCH,2022-09-14
43142,Adeli,PCH,2022-09-14
9583,Sify Technologies Limited,PCH,2022-09-14
56630,Melbikomas UAB,PCH,2022-09-14
20766,Gitoyen,PCH,2022-09-14
8487,Phibee Telecom SAS,PCH,2022-09-14
46489,Twitch Interactive Inc.,PCH,2022-09-14
43996,Booking.com BV,PCH,2022-09-14
20886,bn:t Blatzheim Networks Telecom GmbH,PCH,2022-09-14
36944,TENET,PCH,2022-09-14
15589,Eutelia S.p.A.,PCH,2022-09-14
35598,INETCOM LLC,PCH,2022-09-14
29467,LuxNetwork,PCH,2022-09-14
43641,Sollutium Eu Sp.z.o.o,PCH,2022-09-14
44034,Hi3G Access AB,PCH,2022-09-14
16509,Amazon,PCH,2022-09-14
32261,Subspace,PCH,2022-09-14
62713,Pubmatic,PCH,2022-09-14
197981,Intercloud SAS,PCH,2022-09-14
4761,Indosat,PCH,2022-09-14
37100,Seacom ltd,PCH,2022-09-14
25428,Colruyt Group services ,PCH,2022-09-14
60893,Art of Automation B.V.,PCH,2022-09-14
25291,Inter.link GmbH,PCH,2022-09-14
20647,IPB Internet Provider in Berlin GmbH,PCH,2022-09-14
61319,TECLIB,PCH,2022-09-14
31328,Schneider Electric SAS,PCH,2022-09-14
8839,SDV Plurimedia,PCH,2022-09-14
14537,Continent 8 Technologies PLC,PCH,2022-09-14
57928,PRODWARE SA,PCH,2022-09-14
133613,MTel Telecommunication Company Limited,PCH,2022-09-14
28598,Mob Telecom,PCH,2022-09-14
47957,Ingenico - Retail International Holding,PCH,2022-09-14
13249,IT Systems LLC,PCH,2022-09-14
2906,Netflix Entertainment Services India LLP,PCH,2022-09-14
39179,Nasstar,PCH,2022-09-14
38082,True Internet Corporation Company Limited,PCH,2022-09-14
41776,BrightBlue GmbH &amp; Co. KG,PCH,2022-09-14
198930,Vereinigte Stadtwerke Media GmbH,PCH,2022-09-14
1828,Unitas Global,PCH,2022-09-14
24429,Alibaba.com (Europe) Limited,PCH,2022-09-14
200052,Feral Hosting,PCH,2022-09-14
1820,"LLC ""Wnet Ukraine""",PCH,2022-09-14
39737,Prime Telecom SRL,PCH,2022-09-14
50300,Custodian LTD,PCH,2022-09-14
60822,WISPONE SRL,PCH,2022-09-14
8452,Telecom Egypt,PCH,2022-09-14
13157,Gopas Solutions GmbH (new),PCH,2022-09-14
32590,Valve Corporation,PCH,2022-09-14
199939,KeenSystems B.V.,PCH,2022-09-14
47836,SC Web Software Development SRL,PCH,2022-09-14
20804,EXATEL S.A.,PCH,2022-09-14
11816,Setar NV,PCH,2022-09-14
12714,NetByNet,PCH,2022-09-14
34927,iFog GmbH,PCH,2022-09-14
30844,Liquid Telecommunications Ltd,PCH,2022-09-14
30419,MediaMath,PCH,2022-09-14
266583,TELXE DO BRASIL TELECOMUNICAÇÕES LTDA,PCH,2022-09-14
43942,Grifonline S.r.l.,PCH,2022-09-14
109,"Cisco Systems, Inc.",PCH,2022-09-14
8399,Navaho,PCH,2022-09-14
6507,Riot Games,PCH,2022-09-14
52551,SAMM,PCH,2022-09-14
197692,Conostix,PCH,2022-09-14
12315,Quality Service Provider BV,PCH,2022-09-14
44444,Forcepoint,PCH,2022-09-14
62166,SPADHAUSEN S.R.L.,PCH,2022-09-14
7473,Singtel,PCH,2022-09-14
62245,Equinix Solution Validation Center,PCH,2022-09-14
31638,Lepida Spa,PCH,2022-09-14
47172,Greenhost B.V.,PCH,2022-09-14
48303,OVIS IT Consulting GmbH,PCH,2022-09-14
20764,RASCOM CJSC,PCH,2022-09-14
29141,Bradler & Krantz GmbH & Co. KG,PCH,2022-09-14
45489,Sri Lanka Telecom Plc,PCH,2022-09-14
29119,AireNetworks del Mediterraneo S.L.U.,PCH,2022-09-14
56665,Proximus Luxembourg S.A.,PCH,2022-09-14
62240,Clouvider Limited,PCH,2022-09-14
200738,"Interfibra Telecomunicaciones, S.L.",PCH,2022-09-14
55256,Netskope Inc,PCH,2022-09-14
56911,WARIAN SRL,PCH,2022-09-14
3225,Gulfnet,PCH,2022-09-14
37468,Angola Cables,PCH,2022-09-14
30818,Advania hf.,PCH,2022-09-14
62663,Telecall,PCH,2022-09-14
199947,Nexus Srl,PCH,2022-09-14
8732,Comcor,PCH,2022-09-14
56550,Stel Srl,PCH,2022-09-14
9269,Hong Kong Broadband Network Limited,PCH,2022-09-14
44141,DEVCLIC SARL,PCH,2022-09-14
49653,DeltaWeb SpA,PCH,2022-09-14
1764,next layer GmbH,PCH,2022-09-14
13984,SD Data Center,PCH,2022-09-14
14840,Commcorp Telecom,PCH,2022-09-14
56396,Amobee Inc.,PCH,2022-09-14
13786,Seaborn Networks,PCH,2022-09-14
28801,Hotel Reservation Service Robert Ragge GmbH,PCH,2022-09-14
41090,E-Liance,PCH,2022-09-14
8647,IP Port LLC,PCH,2022-09-14
58073,YISP,PCH,2022-09-14
45629,"JasTel Network Co.,Ltd.",PCH,2022-09-14
8309,Sipartech,PCH,2022-09-14
50245,Serverel,PCH,2022-09-14
61955,ColocationIX,PCH,2022-09-14
15720,Postecom,PCH,2022-09-14
714,Apple Distribution International,PCH,2022-09-14
8283,Netwerkvereniging Coloclue,PCH,2022-09-14
14061,DigitalOcean,PCH,2022-09-14
33986,Redder Telco s.r.l.,PCH,2022-09-14
48362,Stadtwerke Feldkirch,PCH,2022-09-14
48399,Linxdatacenter,PCH,2022-09-14
50266,T-Mobile Thuis B.V.,PCH,2022-09-14
48200,Opteamax GmbH,PCH,2022-09-14
41913,Computerline,PCH,2022-09-14
21574,Century Telecom Ltda,PCH,2022-09-14
16839,ServiceNow,PCH,2022-09-14
39122,Blacknight Internet Solutions Ltd,PCH,2022-09-14
60476,MGL MY.COM (CYPRUS) LIMITED,PCH,2022-09-14
2854,LLC Equant,PCH,2022-09-14
9498,Bharti Airtel (UK) Ltd,PCH,2022-09-14
205689,Whatbox,PCH,2022-09-14
43366,OSSO B.V.,PCH,2022-09-14
6866,CYTA (Cyprus Telecommunications Authority),PCH,2022-09-14
31019,Meanie,PCH,2022-09-14
208722,Yandex Europe B.V.,PCH,2022-09-14
49375,Trunk Networks Limited,PCH,2022-09-14
2635,Aut O’Mattic Ltd.,PCH,2022-09-14
42893,NEWlink,PCH,2022-09-14
12883,"PrJSC ""FARLEP-INVEST""",PCH,2022-09-14
8455,atom86,PCH,2022-09-14
201877,NetAndWork,PCH,2022-09-14
23576,Naver Business Platform Corp,PCH,2022-09-14
15943,wilhelm.tel GmbH,PCH,2022-09-14
209045,Genesis Cloud GmbH,PCH,2022-09-14
7415,Integral Ad Science,PCH,2022-09-14
34984,SUPERONLINE ILETISIM HIZMETLERI A.S.,PCH,2022-09-14
27381,Index Exchange Inc.,PCH,2022-09-14
197440,Istituto di Informatica e Telematica - CNR,PCH,2022-09-14
199938,Netzwerge GmbH,PCH,2022-09-14
5416,Bahrain Telecommunications Company (Batelco),PCH,2022-09-14
7713,PT. Telekomunikasi Indonesia International (Telin),PCH,2022-09-14
59908,BalaLink ,PCH,2022-09-14
