CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,POLYGON_WKT
Chone,Manabi,EC,"POLYGON ((-80.78869518499994 -0.0002878389999523, -79.40774649699995 -0.0746673119999741, -79.29309990899998 -0.4587471139999479, -79.37111347199993 -0.9398727539999641, -79.49616757699994 -1.0866082399999755, -79.87499952099995 -1.2743134709999708, -80.48870341499997 -0.6613373219999517, -80.78869518499994 -0.0002878389999523))"
Penonome,Coclé,PA,"POLYGON ((-81.06277015599994 9.473702960000026, -80.06048216299996 8.905168331000027, -79.67179037499994 8.204340764000051, -79.87470162599999 8.182693447000077, -80.64766170199994 8.268651874000057, -81.21330750799996 9.129448256000046, -81.06277015599994 9.473702960000026))"
Manta,Manabi,EC,"POLYGON ((-85.13897380899994 1.9421947040000305, -80.78869518499994 -0.0002878389999523, -80.48870341499997 -0.6613373219999517, -80.63554017699994 -1.156911397999977, -81.41837942999996 -1.4745567439999263, -85.16286722599995 -0.7071500709999441, -85.13897380899994 1.9421947040000305))"
Chitré,Herrera,PA,"POLYGON ((-80.64766170199994 8.268651874000057, -79.87470162599999 8.182693447000077, -80.81250949699995 7.556293739000068, -80.64766170199994 8.268651874000057))"
Puerto Armuelles,Chiriquí,PA,"POLYGON ((-82.75692595599998 8.656505651000032, -82.06890221799995 6.6965715280000495, -82.27515886299994 4.530505950000077, -82.35494416499995 4.1328330900000765, -82.76140336299994 3.9558596460000217, -85.30726144999994 3.009879574000024, -87.40106617399994 4.544863340000063, -84.60060823999999 7.261512805000052, -82.75692595599998 8.656505651000032))"
Milagro,Guayas,EC,"POLYGON ((-79.79095815299996 -1.9547399779999637, -79.22304584399996 -2.0443595369999343, -79.22893779299994 -2.471923598999979, -79.24557553499994 -2.4944867319999275, -79.59152089999998 -2.782621499999948, -79.69059700399998 -2.7496079789999612, -79.79095815299996 -1.9547399779999637))"
Balboa,Panama,PA,"POLYGON ((-79.67471701799997 9.191748389000054, -79.08115983799996 8.085418984000057, -79.11926891499996 7.986905698000044, -79.19142734499997 7.916279450000047, -79.67179037499994 8.204340764000051, -80.06048216299996 8.905168331000027, -79.67471701799997 9.191748389000054))"
La Cruz,Guanacaste,CR,"POLYGON ((-85.28772035599997 11.479960461000076, -85.20922439899994 10.997319273000073, -86.23168748999996 10.536787378000042, -85.63439166999996 11.30192762300004, -85.28772035599997 11.479960461000076))"
Salinas,Guayas,EC,"POLYGON ((-85.16286722599995 -0.7071500709999441, -81.41837942999996 -1.4745567439999263, -80.44478584299998 -1.9324835329999246, -80.45964558199995 -2.7200688709999667, -80.57315065399996 -2.8292937089999555, -81.82093269599994 -3.3029246799999328, -85.48470362999996 -2.841124868999941, -85.16286722599995 -0.7071500709999441))"
Rivas,Nicaragua,NI,"POLYGON ((-85.58581664499997 11.765877612000054, -85.26881381199996 11.557567755000036, -85.28772035599997 11.479960461000076, -85.63439166999996 11.30192762300004, -86.23903296199995 11.429125509000073, -85.98996747699994 11.659389561000069, -85.58581664499997 11.765877612000054))"
San Juan del Sur,Nicaragua,NI,"POLYGON ((-86.23903296199995 11.429125509000073, -85.63439166999996 11.30192762300004, -86.23168748999996 10.536787378000042, -91.26131706199999 7.054006142000048, -90.69333776199994 7.943912074000025, -90.68140542499998 7.959807505000072, -90.26200308599994 8.474446821000072, -89.90320998699997 8.804549368000039, -88.00523162999997 10.436511272000075, -86.23903296199995 11.429125509000073))"
Liberia,Guanacaste,CR,"POLYGON ((-85.20922439899994 10.997319273000073, -85.07140838199996 10.851280471000052, -85.74520108799999 9.749083425000038, -89.94437667199998 5.953996822000022, -91.54518302399998 6.658805422000057, -91.26131706199999 7.054006142000048, -86.23168748999996 10.536787378000042, -85.20922439899994 10.997319273000073))"
San Carlos,Nicaragua,NI,"POLYGON ((-84.57807614299998 11.972518683000033, -84.17452726699997 11.43359235400004, -84.30207561699996 10.916583900000035, -84.71746320099999 10.728681127000073, -85.07140838199996 10.851280471000052, -85.20922439899994 10.997319273000073, -85.28772035599997 11.479960461000076, -85.26881381199996 11.557567755000036, -84.57807614299998 11.972518683000033))"
Masaya,Masaya,NI,"POLYGON ((-85.94837817899997 12.281031201000076, -85.94336242899999 12.27667600500007, -86.05162530799998 11.83158934200003, -86.25216008699994 11.994620284000064, -85.94837817899997 12.281031201000076))"
Granada‎,Granada,NI,"POLYGON ((-85.94336242899999 12.27667600500007, -85.70369490799999 12.147072623000042, -85.58581664499997 11.765877612000054, -85.98996747699994 11.659389561000069, -86.05162530799998 11.83158934200003, -85.94336242899999 12.27667600500007))"
Bluefields,Atlántico Sur,NI,"POLYGON ((-84.47660655399994 13.186011029000042, -82.89229099699998 12.888700210000025, -82.52489636299998 11.532849740000074, -84.17452726699997 11.43359235400004, -84.57807614299998 11.972518683000033, -84.50253060099999 13.081483960000071, -84.47660655399994 13.186011029000042))"
Jinotega,Jinotega,NI,"POLYGON ((-84.87159971799997 14.061744605000058, -84.70670116699995 13.603862803000027, -86.17945099799994 12.898071769000069, -86.18089416199996 13.40929817500006, -85.54996402099994 13.962973894000072, -84.87159971799997 14.061744605000058))"
