CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,POLYGON_WKT
Balancán,Tabasco,MX,"POLYGON ((-90.94296959399998 18.480106566000075, -90.29816963499997 18.14325937900003, -90.38213196799995 17.98365656800007, -92.21141054899994 17.411313765000045, -92.27635351299995 17.479561731000047, -92.19450840699994 18.04016000400003, -92.18698345399997 18.05095937300007, -90.94296959399998 18.480106566000075))"
Ticul,Yucatán,MX,"POLYGON ((-89.33219650999996 20.720398836000072, -89.18315346899999 20.57699404400006, -89.81960292799994 19.78290928200005, -89.88422474099997 19.892797977000043, -89.77425783799998 20.65278352300004, -89.33219650999996 20.720398836000072))"
Campeche,Campeche,MX,"POLYGON ((-93.23178613599998 22.055751663000024, -89.88422474099997 19.892797977000043, -89.81960292799994 19.78290928200005, -89.62396512599997 19.137837346000026, -92.06417311599995 20.257361649000075, -92.41824395299994 20.65602780300003, -93.23178613599998 22.055751663000024))"
Flores,Petén,GT,"POLYGON ((-89.89531188599994 18.28273531900004, -89.76720622099998 18.13618454400006, -89.38766433099994 16.732378620000077, -89.77097784799997 16.500784089000035, -90.50533880099994 17.635075218000054, -90.38213196799995 17.98365656800007, -90.29816963499997 18.14325937900003, -89.89531188599994 18.28273531900004))"
Champotón,Campeche,MX,"POLYGON ((-92.06417311599995 20.257361649000075, -89.62396512599997 19.137837346000026, -89.51899893399997 18.95991837500003, -89.56267939899999 18.852968286000078, -89.89531188599994 18.28273531900004, -90.29816963499997 18.14325937900003, -90.94296959399998 18.480106566000075, -92.06417311599995 20.257361649000075))"
Frontera,Tabasco,MX,"POLYGON ((-93.51376679399999 22.437243851000062, -93.23178613599998 22.055751663000024, -92.41824395299994 20.65602780300003, -92.18698345399997 18.05095937300007, -92.19450840699994 18.04016000400003, -92.89368224299994 18.34129996100006, -93.87980273599999 21.51256741000003, -93.51376679399999 22.437243851000062))"
Mazatenango,Suchitepéquez,GT,"POLYGON ((-91.37119263199997 14.684974020000027, -91.15278638899997 14.390635817000032, -91.22322372399998 14.167040806000045, -91.62730038599994 13.695020224000075, -91.58769391299995 14.677729303000035, -91.37119263199997 14.684974020000027))"
Santa Bárbara,Santa Bárbara,HN,"POLYGON ((-88.42553832699997 15.313240983000071, -87.77697709099994 15.083278757000073, -87.75426057699997 14.930862399000034, -87.97157339999995 14.653176822000034, -88.27972220499998 14.616735224000024, -88.51120742499995 14.856219959000043, -88.61341141199995 15.229326141000058, -88.42553832699997 15.313240983000071))"
Livingston,Izabal,GT,"POLYGON ((-88.50344253899999 16.021274062000032, -88.99859168899997 15.305483682000045, -89.03707937699994 15.306345758000077, -89.33584673299998 15.575230512000076, -89.16631170499994 15.889086030000044, -88.50344253899999 16.021274062000032))"
Punta Gorda,Toledo,BZ,"POLYGON ((-88.74100236299995 16.67441739000003, -88.71902120399994 16.673597776000065, -88.09734281899995 16.25183759400005, -88.50344253899999 16.021274062000032, -89.16631170499994 15.889086030000044, -89.05384599899998 16.600037247000046, -88.74100236299995 16.67441739000003))"
La Libertad,Petén,GT,"POLYGON ((-90.50533880099994 17.635075218000054, -89.77097784799997 16.500784089000035, -90.11450671099999 16.098333542000034, -91.04688934199999 16.283331993000047, -91.16782782299998 16.395155197000065, -90.50533880099994 17.635075218000054))"
El Cayo,Cayo,BZ,"POLYGON ((-89.76720622099998 18.13618454400006, -89.10208549299995 17.779561484000055, -88.74100236299995 16.67441739000003, -89.05384599899998 16.600037247000046, -89.38766433099994 16.732378620000077, -89.76720622099998 18.13618454400006))"
Salamá,Baja Verapaz,GT,"POLYGON ((-89.86550159099994 15.373085822000064, -89.87468366499996 15.318061526000065, -90.30584879799994 14.81140302600005, -90.62982988199997 14.95458983900005, -90.72309159099996 15.061597187000075, -90.73626853099995 15.216496160000077, -89.86550159099994 15.373085822000064))"
San Luis,Petén,GT,"POLYGON ((-89.38766433099994 16.732378620000077, -89.05384599899998 16.600037247000046, -89.16631170499994 15.889086030000044, -89.33584673299998 15.575230512000076, -89.73047197599999 15.603830881000022, -90.11450671099999 16.098333542000034, -89.77097784799997 16.500784089000035, -89.38766433099994 16.732378620000077))"
Santa Rosa de Copán,Copán,HN,"POLYGON ((-89.03707937699994 15.306345758000077, -88.99859168899997 15.305483682000045, -88.61341141199995 15.229326141000058, -88.51120742499995 14.856219959000043, -88.87384966799999 14.474140712000064, -89.16068845299998 14.820431019000068, -89.15956506199996 14.852206730000034, -89.03707937699994 15.306345758000077))"
Dangriga,Stann Creek,BZ,"POLYGON ((-88.42320595699994 17.247475019000035, -87.17283651899999 17.172676516000024, -87.45036190399998 16.435110054000063, -87.55788824699994 16.30833251100006, -88.06633109399996 16.24261109200006, -88.09734281899995 16.25183759400005, -88.71902120399994 16.673597776000065, -88.42320595699994 17.247475019000035))"
Belmopan,Cayo,BZ,"POLYGON ((-89.10208549299995 17.779561484000055, -88.59681368899999 17.654753992000053, -88.42320595699994 17.247475019000035, -88.71902120399994 16.673597776000065, -88.74100236299995 16.67441739000003, -89.10208549299995 17.779561484000055))"
Chetumal,Quintana Roo,MX,"POLYGON ((-88.89460949599999 19.206734020000056, -86.28008288199999 18.601703060000034, -86.10602828499998 18.484800017000055, -86.45439983499995 18.198881887000027, -87.87097126199996 18.04096924600003, -89.12209412799996 19.120205261000024, -88.89460949599999 19.206734020000056))"
Orange Walk,Orange Walk,BZ,"POLYGON ((-89.56267939899999 18.852968286000078, -88.04243667199995 18.002906921000033, -88.59681368899999 17.654753992000053, -89.10208549299995 17.779561484000055, -89.76720622099998 18.13618454400006, -89.89531188599994 18.28273531900004, -89.56267939899999 18.852968286000078))"
Tekax,Yucatán,MX,"POLYGON ((-89.18315346899999 20.57699404400006, -89.03042002099994 20.522641272000044, -89.31470392999995 19.06104433400003, -89.51899893399997 18.95991837500003, -89.62396512599997 19.137837346000026, -89.81960292799994 19.78290928200005, -89.18315346899999 20.57699404400006))"
Poza Rica de Hidalgo,Veracruz,MX,"POLYGON ((-98.15282175099998 20.85974257600003, -96.97865638699994 20.687913498000057, -97.20779716599998 20.21665066500003, -98.01974751299997 20.094310644000075, -98.21594699599996 20.74488929100005, -98.15282175099998 20.85974257600003))"
Jalapa,Jalapa,GT,"POLYGON ((-89.78644644199994 14.769126850000077, -89.69676451099997 14.525776759000053, -90.10275286299998 14.420435190000035, -90.25638369599994 14.55453645600005, -90.25978426399996 14.708700792000059, -89.78644644199994 14.769126850000077))"
Yoro,Yoro,HN,"POLYGON ((-87.42337807499996 15.67792341300003, -86.65842177499997 15.14154276100004, -86.85329282399994 14.611317602000042, -87.18075128999999 14.58654464700004, -87.75426057699997 14.930862399000034, -87.77697709099994 15.083278757000073, -87.42337807499996 15.67792341300003))"
Corozal,Corozal,BZ,"POLYGON ((-89.12209412799996 19.120205261000024, -87.87097126199996 18.04096924600003, -88.04243667199995 18.002906921000033, -89.56267939899999 18.852968286000078, -89.51899893399997 18.95991837500003, -89.31470392999995 19.06104433400003, -89.12209412799996 19.120205261000024))"
Belize City,Belize,BZ,"POLYGON ((-86.45439983499995 18.198881887000027, -87.17283651899999 17.172676516000024, -88.42320595699994 17.247475019000035, -88.59681368899999 17.654753992000053, -88.04243667199995 18.002906921000033, -87.87097126199996 18.04096924600003, -86.45439983499995 18.198881887000027))"
Felipe Carrillo Puerto,Quintana Roo,MX,"POLYGON ((-87.62583030299999 20.19409727900006, -86.28008288199999 18.601703060000034, -88.89460949599999 19.206734020000056, -88.33231294099994 20.09686506500003, -87.62583030299999 20.19409727900006))"
Puerto Barrios,Izabal,GT,"POLYGON ((-88.09734281899995 16.25183759400005, -88.06633109399996 16.24261109200006, -88.42553832699997 15.313240983000071, -88.61341141199995 15.229326141000058, -88.99859168899997 15.305483682000045, -88.50344253899999 16.021274062000032, -88.09734281899995 16.25183759400005))"
La Ceiba,Atlántida,HN,"POLYGON ((-87.45036190399998 16.435110054000063, -86.39250772899999 15.916364076000036, -86.28984053399995 15.332805833000066, -86.65842177499997 15.14154276100004, -87.42337807499996 15.67792341300003, -87.55788824699994 16.30833251100006, -87.45036190399998 16.435110054000063))"
Valladolid,Yucatán,MX,"POLYGON ((-88.56487735999997 20.942811634000066, -87.54399829799996 20.83180164500004, -87.62583030299999 20.19409727900006, -88.33231294099994 20.09686506500003, -88.68438177899998 20.56590303400003, -88.56487735999997 20.942811634000066))"
Tegucigalpa,Francisco Morazán,HN,"POLYGON ((-86.85329282399994 14.611317602000042, -86.81173052999998 14.539100826000038, -87.16274750299993 13.725053173000049, -87.58407580499994 13.925707447000036, -87.39755319599999 14.324909813000033, -87.18075128999999 14.58654464700004, -86.85329282399994 14.611317602000042))"
La Esperanza,Intibucá,HN,"POLYGON ((-87.97157339999995 14.653176822000034, -87.92197035899994 14.451979946000051, -87.93313482999997 14.037597503000029, -88.29380740299996 13.999593901000026, -88.51473938099997 14.225569519000032, -88.27972220499998 14.616735224000024, -87.97157339999995 14.653176822000034))"
Trujillo,Colón,HN,"POLYGON ((-85.01198328299995 17.755324635000022, -85.29713049799994 15.116676419000044, -86.28984053399995 15.332805833000066, -86.39250772899999 15.916364076000036, -85.01198328299995 17.755324635000022))"
Brus Laguna,Gracias a Dios,HN,"POLYGON ((-84.37387584899994 18.826191041000072, -82.80316587699997 17.424566353000046, -84.87074728699997 14.425796683000044, -85.29713049799994 15.116676419000044, -85.01198328299995 17.755324635000022, -84.76533961499996 18.623039267000024, -84.37387584899994 18.826191041000072))"
San Pedro Sula,Cortés,HN,"POLYGON ((-87.55788824699994 16.30833251100006, -87.42337807499996 15.67792341300003, -87.77697709099994 15.083278757000073, -88.42553832699997 15.313240983000071, -88.06633109399996 16.24261109200006, -87.55788824699994 16.30833251100006))"
Puerto Lempira,Gracias a Dios,HN,"POLYGON ((-82.80316587699997 17.424566353000046, -80.52955974299994 16.043081853000047, -80.38037268099998 15.724142246000042, -80.52578942499997 15.612042054000028, -84.82897291099994 14.252213268000048, -84.87074728699997 14.425796683000044, -82.80316587699997 17.424566353000046))"
Juticalpa,Olancho,HN,"POLYGON ((-86.28984053399995 15.332805833000066, -85.29713049799994 15.116676419000044, -84.87074728699997 14.425796683000044, -84.82897291099994 14.252213268000048, -84.87159971799997 14.061744605000058, -85.54996402099994 13.962973894000072, -86.35885636299997 14.151924510000072, -86.81173052999998 14.539100826000038, -86.85329282399994 14.611317602000042, -86.65842177499997 15.14154276100004, -86.28984053399995 15.332805833000066))"
Puerto Cabezas,Atlántico Norte,NI,"POLYGON ((-80.52578942499997 15.612042054000028, -82.89229099699998 12.888700210000025, -84.47660655399994 13.186011029000042, -84.60490559499993 13.372844678000035, -84.70670116699995 13.603862803000027, -84.87159971799997 14.061744605000058, -84.82897291099994 14.252213268000048, -80.52578942499997 15.612042054000028))"
Roatán,Islas de la Bahía,HN,"POLYGON ((-84.76533961499996 18.623039267000024, -85.01198328299995 17.755324635000022, -86.39250772899999 15.916364076000036, -87.45036190399998 16.435110054000063, -87.17283651899999 17.172676516000024, -86.45439983499995 18.198881887000027, -86.10602828499998 18.484800017000055, -84.76533961499996 18.623039267000024))"
Río Verde,Magallanes y Antartica Chilena,CL,"POLYGON ((-70.76062211299995 -51.21429081399998, -70.37722119099993 -52.062794821999944, -80.61675904899994 -62.53299455499996, -81.36441603799994 -62.70057746799995, -72.17673885899995 -52.394571062999944, -70.76062211299995 -51.21429081399998))"
Río Gallegos,Santa Cruz,AR,"POLYGON ((-70.56305575799996 -50.520203555999956, -67.47716002499993 -51.10271350099998, -66.79360491699998 -51.542129889999956, -69.28372595699994 -53.29316142399995, -70.37722119099993 -52.062794821999944, -70.76062211299995 -51.21429081399998, -70.76183088899995 -50.99168210899995, -70.56305575799996 -50.520203555999956))"
Perito Moreno,Santa Cruz,AR,"POLYGON ((-71.23797226199997 -45.79399644299997, -71.06254760499996 -45.80520133299996, -69.58785884799994 -46.877921424999954, -69.36214402399997 -47.29550726399998, -71.31367389899998 -47.91102162999994, -71.35259982599996 -47.87712378699996, -71.90690518899999 -46.532181983999976, -71.23797226199997 -45.79399644299997))"
Cochrane,Ais,CL,"POLYGON ((-72.61371494699995 -46.332197349999944, -71.90690518899999 -46.532181983999976, -71.35259982599996 -47.87712378699996, -83.36799923399997 -47.776879194999935, -79.98833428599994 -46.92517260999995, -72.61371494699995 -46.332197349999944))"
Puerto Natales,Magallanes y Antártica Chilena,CL,"POLYGON ((-77.97955246999999 -50.17398469999995, -72.62918424599997 -50.99168210899995, -72.17673885899995 -52.394571062999944, -81.36441603799994 -62.70057746799995, -126.46381946499997 -75.18932621299996, -125.94857849999994 -68.23255458299997, -119.53417167899994 -53.77408236699995, -96.17328413699994 -50.44429173599997, -77.97955246999999 -50.17398469999995))"
Villa O''Higgins,Santa Cruz,CL,"POLYGON ((-83.36799923399997 -47.776879194999935, -71.35259982599996 -47.87712378699996, -71.31367389899998 -47.91102162999994, -71.48933577399998 -49.26952918599994, -77.97955246999999 -50.17398469999995, -96.17328413699994 -50.44429173599997, -86.67685995299996 -48.41791262999993, -83.36799923399997 -47.776879194999935))"
Esquel,Chubut,AR,"POLYGON ((-72.21475459699997 -42.30330419999996, -70.25805321599995 -42.64857295599995, -69.94356706599996 -43.71032255099993, -71.94541024999995 -44.16387840699997, -72.02252069899998 -44.142119968999964, -72.37553458399998 -43.94676776499995, -72.48203574599995 -42.728264312999954, -72.21475459699997 -42.30330419999996))"
Castro,Los Lagos,CL,"POLYGON ((-73.43039342999998 -42.134858546999965, -72.90135017099993 -42.58561032899996, -73.35435179399997 -42.70444941599993, -74.56078613999995 -42.26003942199998, -73.43039342999998 -42.134858546999965))"
Puerto Aisén,Ais,CL,"POLYGON ((-72.37553458399998 -43.94676776499995, -72.02252069899998 -44.142119968999964, -72.61371494699995 -46.332197349999944, -79.98833428599994 -46.92517260999995, -72.37553458399998 -43.94676776499995))"
Chonchi,Los Lagos,CL,"POLYGON ((-74.56078613999995 -42.26003942199998, -73.35435179399997 -42.70444941599993, -86.67685995299996 -48.41791262999993, -96.17328413699994 -50.44429173599997, -119.53417167899994 -53.77408236699995, -116.09485034699998 -43.38387506799995, -74.56078613999995 -42.26003942199998))"
Quellón,Los Lagos,CL,"POLYGON ((-72.90135017099993 -42.58561032899996, -72.48203574599995 -42.728264312999954, -72.37553458399998 -43.94676776499995, -79.98833428599994 -46.92517260999995, -83.36799923399997 -47.776879194999935, -86.67685995299996 -48.41791262999993, -73.35435179399997 -42.70444941599993, -72.90135017099993 -42.58561032899996))"
Calbuco,Los Lagos,CL,"POLYGON ((-73.56247761799995 -41.36276673399993, -73.18732386199997 -41.49746496599994, -72.20438169399995 -42.23451360799993, -72.21475459699997 -42.30330419999996, -72.48203574599995 -42.728264312999954, -72.90135017099993 -42.58561032899996, -73.43039342999998 -42.134858546999965, -73.56247761799995 -41.36276673399993))"
Puerto Varas,Los Lagos,CL,"POLYGON ((-72.61037298599996 -40.84605515199996, -72.18559537399994 -40.85891577799998, -72.16429726599995 -41.05883617999996, -73.18732386199997 -41.49746496599994, -73.56247761799995 -41.36276673399993, -73.73317498699998 -41.09722932599993, -72.61037298599996 -40.84605515199996))"
La Unión,Los Ríos,CL,"POLYGON ((-73.06209355699997 -40.00946038099994, -72.93594983599996 -40.08392114199995, -73.07420274899994 -40.44267960499997, -73.83639546899997 -40.25202593599994, -73.06209355699997 -40.00946038099994))"
Osorno,Los Lagos,CL,"POLYGON ((-73.83639546899997 -40.25202593599994, -73.07420274899994 -40.44267960499997, -72.61037298599996 -40.84605515199996, -73.73317498699998 -41.09722932599993, -75.10350017099995 -40.39101288299997, -73.83639546899997 -40.25202593599994))"
Valdivia,Los Ríos,CL,"POLYGON ((-76.71933040499994 -39.30854487199997, -72.99764821599996 -39.51885112999997, -73.06209355699997 -40.00946038099994, -73.83639546899997 -40.25202593599994, -75.10350017099995 -40.39101288299997, -78.06123744899998 -39.55719953999994, -76.71933040499994 -39.30854487199997))"
Río Bueno,Los Ríos,CL,"POLYGON ((-72.93594983599996 -40.08392114199995, -71.93672692599995 -40.348833114999934, -72.18559537399994 -40.85891577799998, -72.61037298599996 -40.84605515199996, -73.07420274899994 -40.44267960499997, -72.93594983599996 -40.08392114199995))"
Loncoche,La Araucanía,CL,"POLYGON ((-72.76202727499998 -39.03774095499995, -72.48982988799997 -39.05900465899998, -72.32826715899995 -39.77731384499998, -72.97736117899996 -39.50659567899993, -72.86853717999998 -39.09353830599997, -72.76202727499998 -39.03774095499995))"
Victoria,La Araucanía,CL,"POLYGON ((-72.09063251099997 -38.00499428699993, -71.76104399399998 -38.19019904999993, -71.85277675399993 -38.714090958999975, -71.96672001199994 -38.72613889499996, -72.78075494699993 -38.32782699699993, -72.83049439399997 -38.26620862899995, -72.78450299699995 -38.22835388699997, -72.09063251099997 -38.00499428699993))"
Los Lagos,Los R,CL,"POLYGON ((-72.97736117899996 -39.50659567899993, -72.32826715899995 -39.77731384499998, -71.86543028699998 -40.26495154999998, -71.93672692599995 -40.348833114999934, -72.93594983599996 -40.08392114199995, -73.06209355699997 -40.00946038099994, -72.99764821599996 -39.51885112999997, -72.97736117899996 -39.50659567899993))"
Temuco,La Araucanía,CL,"POLYGON ((-72.78075494699993 -38.32782699699993, -71.96672001199994 -38.72613889499996, -72.48982988799997 -39.05900465899998, -72.76202727499998 -39.03774095499995, -72.78075494699993 -38.32782699699993))"
Angol,La Araucanía,CL,"POLYGON ((-72.79464141099999 -37.34960998499997, -72.46399149399997 -37.70032361099993, -72.78450299699995 -38.22835388699997, -72.83049439399997 -38.26620862899995, -72.99212126599997 -38.22367431699996, -73.25096696299994 -38.09418600299995, -72.92614847499993 -37.43409895599996, -72.79464141099999 -37.34960998499997))"
Nueva Imperial,La Araucanía,CL,"POLYGON ((-72.99212126599997 -38.22367431699996, -72.83049439399997 -38.26620862899995, -72.78075494699993 -38.32782699699993, -72.76202727499998 -39.03774095499995, -72.86853717999998 -39.09353830599997, -73.10076652199996 -38.970587491999936, -72.99212126599997 -38.22367431699996))"
San Carlos de Bariloche,Río Negro,AR,"POLYGON ((-71.01613446199997 -39.84255684699997, -70.91820139299995 -39.896240201999944, -70.73426144599995 -41.52602800699998, -72.03473032299996 -41.71874260599998, -72.16429726599995 -41.05883617999996, -72.18559537399994 -40.85891577799998, -71.93672692599995 -40.348833114999934, -71.86543028699998 -40.26495154999998, -71.01613446199997 -39.84255684699997))"
Lonquimay,La Araucanpa,CL,"POLYGON ((-71.13949227999996 -37.54960650299995, -70.74605310299995 -37.911707588999946, -70.87123172199995 -39.219765665999944, -71.04794061799998 -39.66149876999998, -71.85277675399993 -38.714090958999975, -71.76104399399998 -38.19019904999993, -71.13949227999996 -37.54960650299995))"
Collipulli,La Araucanía,CL,"POLYGON ((-72.46399149399997 -37.70032361099993, -72.28872676999998 -37.724869729999966, -72.09063251099997 -38.00499428699993, -72.78450299699995 -38.22835388699997, -72.46399149399997 -37.70032361099993))"
Coronel,Bío-Bío,CL,"POLYGON ((-74.08869593099996 -36.74178639399997, -73.23143816199996 -36.860433581999985, -72.86910624999996 -37.05976763999996, -73.71254472499999 -37.05976763999996, -74.08869593099996 -36.74178639399997))"
Curanilahue,Bío-Bío,CL,"POLYGON ((-73.68805307299994 -37.08284631199996, -72.92614847499993 -37.43409895599996, -73.25096696299994 -38.09418600299995, -73.26458872399996 -38.09606964499994, -73.68805307299994 -37.08284631199996))"
Carahue,La Araucanía,CL,"POLYGON ((-73.25096696299994 -38.09418600299995, -72.99212126599997 -38.22367431699996, -73.10076652199996 -38.970587491999936, -74.92036643399996 -38.81862972199997, -73.26458872399996 -38.09606964499994, -73.25096696299994 -38.09418600299995))"
Toltén,La Araucanpa,CL,"POLYGON ((-74.92036643399996 -38.81862972199997, -73.10076652199996 -38.970587491999936, -72.86853717999998 -39.09353830599997, -72.97736117899996 -39.50659567899993, -72.99764821599996 -39.51885112999997, -76.71933040499994 -39.30854487199997, -74.92036643399996 -38.81862972199997))"
Los Angeles,Bío-Bío,CL,"POLYGON ((-72.52206244899998 -36.94462872299994, -71.91714178199999 -37.12328423799994, -72.28872676999998 -37.724869729999966, -72.46399149399997 -37.70032361099993, -72.79464141099999 -37.34960998499997, -72.69466773499994 -37.13368609099996, -72.52206244899998 -36.94462872299994))"
Talcahuano,Bío-Bío,CL,"POLYGON ((-85.37953985299998 -29.99753622199995, -84.28901685599999 -30.236823562999973, -73.42107532099999 -35.69528991699997, -72.76011092099998 -36.58328972399994, -73.23143816199996 -36.860433581999985, -74.08869593099996 -36.74178639399997, -85.37953985299998 -29.99753622199995))"
Lota,Bío-Bío,CL,"POLYGON ((-72.86910624999996 -37.05976763999996, -72.69466773499994 -37.13368609099996, -72.79464141099999 -37.34960998499997, -72.92614847499993 -37.43409895599996, -73.68805307299994 -37.08284631199996, -73.71254472499999 -37.05976763999996, -72.86910624999996 -37.05976763999996))"
Talca,Maule,CL,"POLYGON ((-71.79871919999994 -34.90638638399997, -71.10136317499996 -35.53762559299997, -71.98439659199994 -35.72116616399995, -72.07951685499995 -35.598744935999946, -71.97266335699999 -34.95978126899996, -71.79871919999994 -34.90638638399997))"
Lebu,Bío-Bío,CL,"POLYGON ((-94.15577632799994 -27.72666970399996, -85.37953985299998 -29.99753622199995, -74.08869593099996 -36.74178639399997, -73.71254472499999 -37.05976763999996, -73.68805307299994 -37.08284631199996, -73.26458872399996 -38.09606964499994, -74.92036643399996 -38.81862972199997, -76.71933040499994 -39.30854487199997, -78.06123744899998 -39.55719953999994, -114.37228634899998 -38.02317179299996, -113.28977588999999 -33.929735637999954, -101.96258587399996 -28.566162865999956, -94.15577632799994 -27.72666970399996))"
Concepción,Bío-Bío,CL,"POLYGON ((-72.76011092099998 -36.58328972399994, -72.56520088499997 -36.76757795999998, -72.52206244899998 -36.94462872299994, -72.69466773499994 -37.13368609099996, -72.86910624999996 -37.05976763999996, -73.23143816199996 -36.860433581999985, -72.76011092099998 -36.58328972399994))"
Chanaral,Atacama,CL,"POLYGON ((-83.10999039499995 -24.383298483999965, -82.38588101099998 -24.604915733999974, -71.06174620299998 -28.848464272999934, -70.75187933699993 -29.29977620799997, -70.84190849899994 -29.361932217999936, -71.53478697199995 -29.505323283999928, -82.39569494699998 -30.52214607299993, -82.50708720199998 -30.51685068599994, -84.28901685599999 -30.236823562999973, -85.37953985299998 -29.99753622199995, -94.15577632799994 -27.72666970399996, -87.73922220699995 -25.720463043999928, -83.27771555499999 -24.424757184999976, -83.10999039499995 -24.383298483999965))"
Quirihue,BHo-B,CL,"POLYGON ((-73.42107532099999 -35.69528991699997, -72.99742192399998 -35.74433069999998, -72.19195117199996 -36.27298592099993, -72.56520088499997 -36.76757795999998, -72.76011092099998 -36.58328972399994, -73.42107532099999 -35.69528991699997))"
Arequipa,Arequipa,PE,"POLYGON ((-71.53702238899996 -15.36480252399997, -71.02386596799994 -15.674617549999937, -70.86436185699995 -15.91561631899998, -70.68179746299995 -16.381075170999964, -71.45989508099996 -16.977312052999935, -72.14164374099994 -16.42059859899996, -72.28361464899996 -15.574304248999965, -71.53702238899996 -15.36480252399997))"
Tame,Arauca,CO,"POLYGON ((-71.57501263599994 7.278700565000065, -70.64903584999996 5.841396322000037, -71.59083637799995 5.615244407000034, -72.31382194399998 6.047716927000067, -72.40347986399996 6.193038294000075, -72.50500360299998 6.399350789000039, -72.50500360299998 6.623678661000042, -72.01667400499997 7.106730854000034, -71.57501263599994 7.278700565000065))"
Ica,Ica,PE,"POLYGON ((-75.40120618099996 -13.404003581999973, -74.94652080699996 -13.66568209299993, -74.80473562099996 -13.90473125899996, -75.09564822099998 -14.204600477999975, -76.11351185899997 -14.083477733999928, -75.81152424699997 -13.666310205999935, -75.40120618099996 -13.404003581999973))"
Valparaíso,Valparaíso,CL,"POLYGON ((-82.50708720199998 -30.51685068599994, -82.39569494699998 -30.52214607299993, -75.23345475799994 -31.16411547299998, -74.92010070299995 -31.21778624999996, -72.72177630099998 -31.916903554999976, -71.67825234599997 -32.59330414899995, -71.51845153099998 -33.32169855099994, -73.07954476099997 -33.35291456699997, -80.15723383399995 -31.33963995399995, -82.50708720199998 -30.51685068599994))"
Ancud,Los Lagos,CL,"POLYGON ((-114.37228634899998 -38.02317179299996, -78.06123744899998 -39.55719953999994, -75.10350017099995 -40.39101288299997, -73.73317498699998 -41.09722932599993, -73.56247761799995 -41.36276673399993, -73.43039342999998 -42.134858546999965, -74.56078613999995 -42.26003942199998, -116.09485034699998 -43.38387506799995, -114.37228634899998 -38.02317179299996))"
Chincha Alta,Ica,PE,"POLYGON ((-75.88450355099997 -12.599295815999938, -75.81509070299995 -12.648001019999981, -75.40120618099996 -13.404003581999973, -75.81152424699997 -13.666310205999935, -76.99575550599997 -13.340119817999948, -75.88450355099997 -12.599295815999938))"
Santiago,Ica,PE,"POLYGON ((-76.11351185899997 -14.083477733999928, -75.09564822099998 -14.204600477999975, -83.27771555499999 -24.424757184999976, -87.73922220699995 -25.720463043999928, -76.11351185899997 -14.083477733999928))"
Pisco,Ica,PE,"POLYGON ((-76.99575550599997 -13.340119817999948, -75.81152424699997 -13.666310205999935, -76.11351185899997 -14.083477733999928, -87.73922220699995 -25.720463043999928, -94.15577632799994 -27.72666970399996, -101.96258587399996 -28.566162865999956, -99.34807887799997 -25.538305236999975, -79.24612726499998 -14.323118854999962, -76.99575550599997 -13.340119817999948))"
Coracora,Ayacucho,PE,"POLYGON ((-73.41536330799994 -14.280451351999943, -72.99577085499999 -14.554085964999956, -72.70252129499994 -15.45016389899996, -74.66834117899998 -16.76478451899993, -74.43813524599994 -15.368459105999932, -73.41536330799994 -14.280451351999943))"
Camaná,Arequipa,PE,"POLYGON ((-72.70252129499994 -15.45016389899996, -72.28361464899996 -15.574304248999965, -72.14164374099994 -16.42059859899996, -74.31415137499994 -20.218841805999944, -74.74797912699995 -20.80553968299995, -75.03591336299996 -21.01096107999996, -75.54980590699995 -21.24863013099997, -79.35828125599994 -22.582688300999962, -74.66834117899998 -16.76478451899993, -72.70252129499994 -15.45016389899996))"
Mejillones,Antofagasta,CL,"POLYGON ((-75.54980590699995 -21.24863013099997, -70.14057297999994 -22.641208694999932, -69.51460482899995 -23.292236275999983, -79.21233363599998 -24.17380656299997, -80.25044741099998 -24.16476843399994, -81.96919242999996 -24.00022606899995, -79.35828125599994 -22.582688300999962, -75.54980590699995 -21.24863013099997))"
Puquio,Ayacucho,PE,"POLYGON ((-73.73103700099995 -13.911319272999947, -73.41536330799994 -14.280451351999943, -74.43813524599994 -15.368459105999932, -74.66319411999996 -13.966313700999933, -73.73103700099995 -13.911319272999947))"
Abancay,Apurímac,PE,"POLYGON ((-73.03634256099997 -12.24272984299995, -72.42123766299994 -13.661167425999963, -72.38504650199997 -13.95111299399997, -72.99577085499999 -14.554085964999956, -73.41536330799994 -14.280451351999943, -73.73103700099995 -13.911319272999947, -73.39536867899994 -12.950389358999928, -73.03634256099997 -12.24272984299995))"
Ayacucho,Ayacucho,PE,"POLYGON ((-73.39536867899994 -12.950389358999928, -73.73103700099995 -13.911319272999947, -74.66319411999996 -13.966313700999933, -74.80473562099996 -13.90473125899996, -74.94652080699996 -13.66568209299993, -74.67413852399994 -13.120862686999942, -73.39536867899994 -12.950389358999928))"
Nasca,Ica,PE,"POLYGON ((-74.80473562099996 -13.90473125899996, -74.66319411999996 -13.966313700999933, -74.43813524599994 -15.368459105999932, -74.66834117899998 -16.76478451899993, -79.35828125599994 -22.582688300999962, -81.96919242999996 -24.00022606899995, -83.10999039499995 -24.383298483999965, -83.27771555499999 -24.424757184999976, -75.09564822099998 -14.204600477999975, -74.80473562099996 -13.90473125899996))"
