FROM_NODE,TO_NODE,SOURCE,ASOF_DATE
Aarnet3,Aarnet8,Internet Atlas,2013-08-16
Aarnet4,Aarnet5,Internet Atlas,2013-08-16
Aarnet4,Aarnet7,Internet Atlas,2013-08-16
Aarnet6,Aarnet7,Internet Atlas,2013-08-16
Aarnet9,Aarnet15,Internet Atlas,2013-08-16
Aarnet9,Aarnet16,Internet Atlas,2013-08-16
Abilene0,Abilene1,Internet Atlas,2013-08-16
Abilene0,Abilene2,Internet Atlas,2013-08-16
Abilene1,Abilene10,Internet Atlas,2013-08-16
Abilene2,Abilene9,Internet Atlas,2013-08-16
Abilene3,Abilene4,Internet Atlas,2013-08-16
Abilene3,Abilene6,Internet Atlas,2013-08-16
Abilene4,Abilene5,Internet Atlas,2013-08-16
Abilene4,Abilene6,Internet Atlas,2013-08-16
Abilene5,Abilene8,Internet Atlas,2013-08-16
Abilene6,Abilene7,Internet Atlas,2013-08-16
Abilene7,Abilene10,Internet Atlas,2013-08-16
Abilene7,Abilene8,Internet Atlas,2013-08-16
Abilene8,Abilene9,Internet Atlas,2013-08-16
Abilene9,Abilene10,Internet Atlas,2013-08-16
Abvt0,Abvt2,Internet Atlas,2013-08-16
Abvt0,Abvt4,Internet Atlas,2013-08-16
Abvt0,Abvt5,Internet Atlas,2013-08-16
Abvt0,Abvt7,Internet Atlas,2013-08-16
Abvt1,Abvt22,Internet Atlas,2013-08-16
Abvt1,Abvt4,Internet Atlas,2013-08-16
Abvt1,Abvt5,Internet Atlas,2013-08-16
Abvt1,Abvt6,Internet Atlas,2013-08-16
Abvt1,Abvt8,Internet Atlas,2013-08-16
Abvt10,Abvt13,Internet Atlas,2013-08-16
Abvt10,Abvt14,Internet Atlas,2013-08-16
Abvt10,Abvt20,Internet Atlas,2013-08-16
Abvt13,Abvt14,Internet Atlas,2013-08-16
Abvt15,Abvt16,Internet Atlas,2013-08-16
Abvt15,Abvt22,Internet Atlas,2013-08-16
Abvt16,Abvt18,Internet Atlas,2013-08-16
Abvt17,Abvt18,Internet Atlas,2013-08-16
Abvt18,Abvt19,Internet Atlas,2013-08-16
Abvt18,Abvt21,Internet Atlas,2013-08-16
Abvt19,Abvt20,Internet Atlas,2013-08-16
Abvt2,Abvt10,Internet Atlas,2013-08-16
