ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
42699,51.0388,13.7323,RIPEAtlas,,51.0499705191,13.7500028063,Dresden,Sachsen,DE,False,2022-09-15
15763,51.5044,7.528,RIPEAtlas,,51.5299670604,7.45002559269,Dortmund,Nordrhein-Westfalen,DE,False,2022-09-15
39138,51.5189,7.3742,RIPEAtlas,,51.5299670604,7.45002559269,Dortmund,Nordrhein-Westfalen,DE,False,2022-09-15
39138,51.521,7.4879,RIPEAtlas,,51.5299670604,7.45002559269,Dortmund,Nordrhein-Westfalen,DE,False,2022-09-15
8391,51.4909,7.4033,RIPEAtlas,,51.5299670604,7.45002559269,Dortmund,Nordrhein-Westfalen,DE,False,2022-09-15
12676,51.2277,6.7735,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
204035,51.2671,6.8174,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
207306,51.2673,6.8175,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
209915,51.2196,6.8072,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
24961,51.2673,6.8175,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
34936,51.2673,6.8175,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
39138,51.1883,6.8678,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
48821,51.1883,6.8678,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
58057,51.2673,6.8175,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
59645,51.2673,6.8175,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
61157,51.186,6.8701,RIPEAtlas,,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,False,2022-09-15
42184,52.1573,7.5554,RIPEAtlas,,51.9704052929,7.62004105493,Münster,Nordrhein-Westfalen,DE,False,2022-09-15
680,49.5723,11.0294,RIPEAtlas,,49.4700152782,10.9999897854,Fürth,Bayern,DE,False,2022-09-15
680,49.5738,11.0277,RIPEAtlas,,49.4700152782,10.9999897854,Fürth,Bayern,DE,False,2022-09-15
15817,52.3847,8.6241,RIPEAtlas,,52.0299882193,8.53001135116,Bielefeld,Nordrhein-Westfalen,DE,False,2022-09-15
202040,48.9526,8.391,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2022-09-15
202040,48.9525,8.3909,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2022-09-15
49697,50.1281,8.6011,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
55002,50.0966,8.5875,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
