CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,CITY_LATITUDE,CITY_LONGITUDE
Quelimane,Zambezia,MZ,-17.8800081189,36.8899857165
Ligonha,Nampula,MZ,-15.1756770642,37.7400113513
Ntcheu,Ntcheu,MW,-14.8166667,34.6333333
Machinga,Machinga,MW,-14.9666667,35.5166667
Mulanje,Mulanje,MW,-16.0333333,35.5
Chiromo,Nsanje,MW,-16.550011781,35.1332454007
Salima,Salima,MW,-13.7829455375,34.4332881254
Dondo,Sofala,MZ,-19.6195918591,34.7300141996
Nicuadala,Zambezia,MZ,-17.6076733207,36.8197057686
Mocambique,Nampula,MZ,-15.039898947,40.6821836741
Mocuba,Zambezia,MZ,-16.849580059,38.2600312894
Angoche,Nampula,MZ,-16.2300313122,39.9100080961
Maintirano,Mahajanga,MG,-18.0666117159,44.0166824939
Besalampy,Mahajanga,MG,-16.7495344861,44.4833206775
Cuamba,Nassa,MZ,-14.7896024385,36.5399812406
Beira,Sofala,MZ,-19.82004474,34.8700056546
Miandrivazo,Toliary,MG,-19.5161873181,45.4666198311
Ambatondrazaka,Toamasina,MG,-17.8328792126,48.4166723214
Mandritsara,Mahajanga,MG,-15.8328462536,48.8166479073
Marovoay,Mahajanga,MG,-16.0995483207,46.633318643
Mahajanga,Mahajanga,MG,-15.6700138155,46.3450158272
Antananarivo,Antananarivo,MG,-18.9166373506,47.5166239001
Toamasina,Toamasina,MG,-18.1817984835,49.404984089
Andoany,Antsiranana,MG,-13.4000231742,48.266603962
Maroantsetra,Toamasina,MG,-15.4333357556,49.7333361397
Ambanja,Antsiranana,MG,-13.6828999646,48.4500036202
St.-Denis,La Réunion,RE,-20.8788948376,55.4480777576
Port Louis,,MU,-20.1666385714,57.4999938546
Victoria,,SC,-4.61663165397,55.4499897856
Luena,Moxico,AO,-11.7900439261,19.9000150133
Dilolo,Katanga,CD,-10.6996195283,22.3333031806
Saurimo,Lunda Sul,AO,-9.65957965204,20.3900109443
Muconda,Lunda Sul,AO,-10.5996256319,21.3199800198
Capenda-Camulemba,Lunda Norte,AO,-9.41959430048,18.4300272203
Kasempa,North-Western,ZM,-13.4596061006,25.8200154202
Solwezi,North-Western,ZM,-12.1795808728,26.3999800198
Cazombo,Moxico,AO,-11.8895727347,22.9000386136
Luau,Moxico,AO,-10.7095414033,22.2300019925
Mwinilunga,North-Western,ZM,-11.7395560518,24.4399962959
Kaniama,Katanga,CD,-7.56962970086,24.1700386136
Bukama,Katanga,CD,-9.20958127964,25.8400141995
Kabalo,Katanga,CD,-6.04961912143,26.9100264066
Cuangar,Kavango,NA,-17.6095336723,18.6199897854
Tshikapa,Kasaï-Occidental,CD,-6.4099588838,20.7700394274
Kahemba,Bandundu,CD,-7.2829288545,19.0000182685
Dundo,Lunda Norte,AO,-7.38002887078,20.8299840888
Dibaya,Kasao-Occidental,CD,-6.50953936882,22.8700146064
Demba,Kasaï-Occidental,CD,-5.50960040398,22.2599743232
Mweka,Kasaï-Occidental,CD,-4.83961545931,21.5699905993
Lucapa,Lunda Norte,AO,-8.4196036592,20.7400154202
